ID,Nom,beds,X,Y
"1",Sidi Othmane,"148",-7.573,33.5623721547895
"3",Al Mansour,"76",-7.57298996764168,33.6077978328605
"16",Mohammed  SEKKAT,"27",-7.58853854168174,33.5465247679473
"4",Ibn Rochd,"1020",-7.61982420231488,33.5813798538082
"10",20 Aout 1953,"291",-7.61992145318494,33.5749459176722
"9",El Hassani,"72",-7.68728071395086,33.5586247935827
"12",Cheikh Khalifa Bin Zayed Al Nahyan Hospital,"205",-7.6677390494625,33.5526045145883
"6",Mohamed Baouafi,"212",-7.55223491563328,33.5588660836484
"8",Mohamed Sekkat,"68",-7.55206325260633,33.5464889991364
"5",My Youssef,"162",-7.63225476533202,33.6029858333072
"7",Mohamed V,"159",-7.6097644396181,33.590486510298
"15",Sidi Moumen (CMP),"45",-7.50436783321083,33.5951506313311
"2",Ben Msick,"36",-7.57298996764168,33.5585572513847
