R,GID,X,Y
0.13944075835293543,54,-7.51249997,33.62916653
0.09657648383724074,55,-7.504166637,33.62916653
0.30134127065548105,83,-7.529166637,33.6208332
0.2026067684570913,84,-7.520833303,33.6208332
0.20053217176171675,85,-7.51249997,33.6208332
0.09859728305956253,86,-7.504166637,33.6208332
0.17657932941168863,87,-7.495833303,33.6208332
0.6690780018019431,110,-7.56249997,33.61249987
0.6176150938738652,111,-7.554166636,33.61249987
0.4169547824323056,112,-7.545833303,33.61249987
0.4169547824323056,113,-7.53749997,33.61249987
0.3677901976833759,114,-7.529166637,33.61249987
0.22120923001740342,115,-7.520833303,33.61249987
0.21232980627117612,116,-7.51249997,33.61249987
0.174157685064751,117,-7.504166637,33.61249987
0.1303915474427093,118,-7.495833303,33.61249987
0.17657932941168863,119,-7.48749997,33.61249987
0.07003253830574946,120,-7.479166637,33.61249987
1.0330793604584947,130,-7.654166636,33.60416653
1.2302790505816261,131,-7.645833303,33.60416653
1.2553583284082437,132,-7.637499969,33.60416653
1.1648796845376062,133,-7.629166636,33.60416653
1.2341790245952156,134,-7.620833303,33.60416653
1.1770001662041532,135,-7.61249997,33.60416653
0.9374007980985238,136,-7.604166636,33.60416653
0.7943543388711334,138,-7.58749997,33.60416653
0.988899876518821,139,-7.579166636,33.60416653
0.8401302941455563,140,-7.570833303,33.60416653
0.6754691790860166,141,-7.56249997,33.60416653
0.6704409707770621,142,-7.554166636,33.60416653
0.6277667560629984,143,-7.545833303,33.60416653
0.43269041180149836,144,-7.53749997,33.60416653
0.4133529064517245,145,-7.529166637,33.60416653
0.3451823474898412,146,-7.520833303,33.60416653
0.2334041418116048,147,-7.51249997,33.60416653
0.19235674246484324,148,-7.504166637,33.60416653
0.13748524540807994,149,-7.495833303,33.60416653
0.11757742407023804,150,-7.48749997,33.60416653
1.0075294435439048,158,-7.679166636,33.5958332
1.1259328542110256,159,-7.670833303,33.5958332
1.141575432449519,160,-7.662499969,33.5958332
1.2942635926306412,161,-7.654166636,33.5958332
1.2302790505816261,162,-7.645833303,33.5958332
1.3045291362056335,163,-7.637499969,33.5958332
1.3087001718423352,164,-7.629166636,33.5958332
1.3930486649803013,165,-7.620833303,33.5958332
1.3282064117046777,166,-7.61249997,33.5958332
1.2946473333903326,167,-7.604166636,33.5958332
1.2946473333903326,168,-7.595833303,33.5958332
1.1718160337087113,169,-7.58749997,33.5958332
1.0283592274724835,170,-7.579166636,33.5958332
0.9386681332192832,171,-7.570833303,33.5958332
0.8892447478969064,172,-7.56249997,33.5958332
0.7203742429062608,173,-7.554166636,33.5958332
0.6391180955614162,174,-7.545833303,33.5958332
0.4632861785809233,175,-7.53749997,33.5958332
0.4031780940568258,176,-7.529166637,33.5958332
0.3485650184822644,177,-7.520833303,33.5958332
0.2490960799070507,178,-7.51249997,33.5958332
0.22472432951559132,179,-7.504166637,33.5958332
0.1585595809485086,180,-7.495833303,33.5958332
0.9342851210310934,189,-7.679166636,33.58749987
1.0598186184449563,190,-7.670833303,33.58749987
1.141575432449519,191,-7.662499969,33.58749987
1.2942635926306412,192,-7.654166636,33.58749987
1.385972994615693,193,-7.645833303,33.58749987
1.4624739046889237,194,-7.637499969,33.58749987
1.3540534724169047,195,-7.629166636,33.58749987
1.4352474939380362,196,-7.620833303,33.58749987
1.355779196197891,197,-7.61249997,33.58749987
1.3417089529989117,198,-7.604166636,33.58749987
1.2825852214360944,199,-7.595833303,33.58749987
1.2329169980759147,200,-7.58749997,33.58749987
1.0465262016330212,201,-7.579166636,33.58749987
0.8892447478969064,202,-7.570833303,33.58749987
0.9652982055089955,203,-7.56249997,33.58749987
0.6791925718068538,204,-7.554166636,33.58749987
0.6679554750540706,205,-7.545833303,33.58749987
0.4615272407175934,206,-7.53749997,33.58749987
0.42870503607910465,207,-7.529166637,33.58749987
0.36438836597015356,208,-7.520833303,33.58749987
0.27254989711916366,209,-7.51249997,33.58749987
0.26011222588904126,210,-7.504166637,33.58749987
0.1537634252979422,211,-7.495833303,33.58749987
0.13332175282623257,212,-7.48749997,33.58749987
0.09877368936839295,213,-7.479166637,33.58749987
0.6835393279566697,217,-7.704166636,33.57916653
0.8218452288032061,218,-7.695833303,33.57916653
0.8852876949327675,219,-7.687499969,33.57916653
0.9342851210310934,220,-7.679166636,33.57916653
1.157626588275758,221,-7.670833303,33.57916653
1.2059420698093444,222,-7.662499969,33.57916653
1.3949257090597438,223,-7.654166636,33.57916653
1.3400517294356078,224,-7.645833303,33.57916653
1.4624739046889237,225,-7.637499969,33.57916653
1.3712736056213481,226,-7.629166636,33.57916653
1.3951988881395458,227,-7.620833303,33.57916653
1.4462578400685284,228,-7.61249997,33.57916653
1.32026326703154,229,-7.604166636,33.57916653
1.2998690876141268,230,-7.595833303,33.57916653
1.2325002351771221,231,-7.58749997,33.57916653
1.0000893829601998,232,-7.579166636,33.57916653
0.9767926258445082,233,-7.570833303,33.57916653
0.933760417806205,234,-7.56249997,33.57916653
0.7298536135824659,235,-7.554166636,33.57916653
0.6897791373370284,236,-7.545833303,33.57916653
0.4819015220810731,237,-7.53749997,33.57916653
0.4617518055028648,238,-7.529166637,33.57916653
0.417113634111613,239,-7.520833303,33.57916653
0.2769512759745958,240,-7.51249997,33.57916653
0.24628829522756648,241,-7.504166637,33.57916653
0.1515366064864204,242,-7.495833303,33.57916653
0.13903603494227132,243,-7.48749997,33.57916653
0.06709104955752232,244,-7.479166637,33.57916653
0.05821320610199198,245,-7.470833303,33.57916653
0.8218452288032061,249,-7.695833303,33.5708332
