GID,X,Y,pop
273,-7.495833303,33.5708332,33426.3
274,-7.48749997,33.5708332,30297.0
275,-7.479166637,33.5708332,9659.49
281,-7.687499969,33.56249987,7325.41
282,-7.679166636,33.56249987,9426.96
283,-7.670833303,33.56249987,9653.56
284,-7.662499969,33.56249987,7444.93
285,-7.654166636,33.56249987,6292.67
286,-7.645833303,33.56249987,8266.67
287,-7.637499969,33.56249987,9687.38
288,-7.629166636,33.56249987,10021.5
289,-7.620833303,33.56249987,10977.8
290,-7.61249997,33.56249987,8495.25
291,-7.604166636,33.56249987,10075.7
292,-7.595833303,33.56249987,11399.4
293,-7.58749997,33.56249987,12378.9
294,-7.579166636,33.56249987,18868.8
295,-7.570833303,33.56249987,40569.7
296,-7.56249997,33.56249987,45333.4
297,-7.554166636,33.56249987,55101.5
298,-7.545833303,33.56249987,57708.6
299,-7.53749997,33.56249987,66911.3
300,-7.529166637,33.56249987,67327.8
301,-7.520833303,33.56249987,44646.3
302,-7.51249997,33.56249987,40011.3
303,-7.504166637,33.56249987,29641.1
304,-7.495833303,33.56249987,19645.1
305,-7.48749997,33.56249987,7825.15
306,-7.479166637,33.56249987,1595.16
312,-7.687499969,33.55416653,10564.9
313,-7.679166636,33.55416653,9947.73
314,-7.670833303,33.55416653,7121.47
315,-7.662499969,33.55416653,6622.34
316,-7.654166636,33.55416653,5490.09
317,-7.645833303,33.55416653,8289.52
318,-7.637499969,33.55416653,10854.5
319,-7.629166636,33.55416653,12581.2
320,-7.620833303,33.55416653,13334.4
321,-7.61249997,33.55416653,10937.9
322,-7.604166636,33.55416653,12420.1
323,-7.595833303,33.55416653,13661.8
324,-7.58749997,33.55416653,16235.1
325,-7.579166636,33.55416653,22027.9
326,-7.570833303,33.55416653,25375.4
327,-7.56249997,33.55416653,14707.1
328,-7.554166636,33.55416653,41480.1
329,-7.545833303,33.55416653,57819.7
330,-7.53749997,33.55416653,45243.8
331,-7.529166637,33.55416653,37545.2
336,-7.48749997,33.55416653,7569.27
344,-7.679166636,33.5458332,12120.1
345,-7.670833303,33.5458332,9866.63
346,-7.662499969,33.5458332,8550.23
347,-7.654166636,33.5458332,7349.35
348,-7.645833303,33.5458332,7374.35
349,-7.637499969,33.5458332,11956.4
350,-7.629166636,33.5458332,13794.3
351,-7.620833303,33.5458332,13793.4
352,-7.61249997,33.5458332,10953.8
353,-7.604166636,33.5458332,17040.8
354,-7.595833303,33.5458332,22412.7
355,-7.58749997,33.5458332,25614.3
356,-7.579166636,33.5458332,29230.6
357,-7.570833303,33.5458332,23788.9
358,-7.56249997,33.5458332,10189.6
359,-7.554166636,33.5458332,20595.6
360,-7.545833303,33.5458332,31732.6
375,-7.679166636,33.53749987,11569.0
376,-7.670833303,33.53749987,12524.7
377,-7.662499969,33.53749987,8552.22
378,-7.654166636,33.53749987,7351.67
379,-7.645833303,33.53749987,9999.79
380,-7.637499969,33.53749987,12302.2
381,-7.629166636,33.53749987,12948.4
382,-7.620833303,33.53749987,16727.3
383,-7.61249997,33.53749987,18779.2
384,-7.604166636,33.53749987,22189.2
385,-7.595833303,33.53749987,25203.8
386,-7.58749997,33.53749987,24883.9
387,-7.579166636,33.53749987,24586.7
388,-7.570833303,33.53749987,19517.4
389,-7.56249997,33.53749987,8870.87
390,-7.554166636,33.53749987,14794.8
407,-7.670833303,33.52916653,11499.1
408,-7.662499969,33.52916653,10336.0
409,-7.654166636,33.52916653,8290.62
410,-7.645833303,33.52916653,13104.7
411,-7.637499969,33.52916653,12475.5
412,-7.629166636,33.52916653,8694.73
413,-7.620833303,33.52916653,10928.3
414,-7.61249997,33.52916653,15148.1
415,-7.604166636,33.52916653,8410.92
416,-7.595833303,33.52916653,8576.73
417,-7.58749997,33.52916653,8871.31
418,-7.579166636,33.52916653,13463.0
419,-7.570833303,33.52916653,16655.9
420,-7.56249997,33.52916653,9089.15
421,-7.554166636,33.52916653,5449.08
422,-7.545833303,33.52916653,4922.03
438,-7.670833303,33.5208332,9061.75
439,-7.662499969,33.5208332,10692.6
440,-7.654166636,33.5208332,13391.1
441,-7.645833303,33.5208332,12828.1
442,-7.637499969,33.5208332,7541.01
443,-7.629166636,33.5208332,7173.59
444,-7.620833303,33.5208332,5751.9
445,-7.61249997,33.5208332,4428.52
446,-7.604166636,33.5208332,3618.92
450,-7.570833303,33.5208332,7092.6
451,-7.56249997,33.5208332,8955.47
452,-7.554166636,33.5208332,5852.49
453,-7.545833303,33.5208332,2908.69
454,-7.53749997,33.5208332,1387.89
468,-7.679166636,33.51249987,3796.24
469,-7.670833303,33.51249987,7423.73
470,-7.662499969,33.51249987,8612.82
471,-7.654166636,33.51249987,8782.35
472,-7.645833303,33.51249987,5688.28
