origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"87","15",6.9507263,1660.7563441,2.3642810,1670.0713514
"87","2",6.9507263,1660.7563441,2.3642810,1670.0713514
"110","1",1.0203545,1140.2649635,2.4901629,1143.7754809
"110","3",1.0203545,197.3215570,3.4647261,201.8066375
"110","16",1.0203545,1399.9550319,2.6653095,1403.6406959
"110","4",1.0203545,996.0903226,0.4822301,997.5929073
"110","10",1.0203545,1064.4160030,2.9794628,1068.4158202
"110","9",1.0203545,1994.8112824,2.8057399,1998.6373768
"110","12",1.0203545,1994.8112824,2.8057399,1998.6373768
"110","6",1.0203545,1160.8655954,0.6805221,1162.5664721
"110","8",1.0203545,1405.7831879,3.8251580,1410.6287003
"110","5",1.0203545,1092.9273953,5.3872645,1099.3350143
"110","7",1.0203545,780.2338380,1.3512963,782.6054888
"110","15",1.0203545,997.3046010,2.9353627,1001.2603181
"110","2",1.0203545,1188.9300941,2.3642810,1192.3147296
"111","1",16.0107470,1143.3055550,2.4901629,1161.8064649
"111","3",16.0107470,293.5973633,3.4647261,313.0728364
"111","16",16.0107470,1482.5742791,2.6653095,1501.2503356
"111","4",16.0107470,1092.3661290,0.4822301,1108.8591062
"111","10",16.0107470,1160.6918093,2.9794628,1179.6820191
"111","9",16.0107470,2091.0870888,2.8057399,2109.9035757
"111","12",16.0107470,2091.0870888,2.8057399,2109.9035757
"111","6",16.0107470,1096.0046994,0.6805221,1112.6959685
"111","8",16.0107470,1345.4145033,3.8251580,1365.2504083
"111","5",16.0107470,1189.2032017,5.3872645,1210.6012132
"111","7",16.0107470,876.5096444,1.3512963,893.8716877
"111","15",16.0107470,844.0645548,2.9353627,863.0106644
"111","2",16.0107470,1241.6582316,2.3642810,1260.0332596
"112","1",0.8136896,1103.9393067,2.4901629,1107.2431593
"112","3",0.8136896,426.1467335,3.4647261,430.4251491
"112","16",0.8136896,1461.3194298,2.6653095,1464.7984289
"112","4",0.8136896,1224.9154991,0.4822301,1226.2114189
"112","10",0.8136896,1292.7910652,2.9794628,1296.5842176
"112","9",0.8136896,2223.6364589,2.8057399,2227.2558884
"112","12",0.8136896,2223.6364589,2.8057399,2227.2558884
"112","6",0.8136896,1056.6384512,0.6805221,1058.1326629
"112","8",0.8136896,1306.0482551,3.8251580,1310.6871027
"112","5",0.8136896,1321.7525718,5.3872645,1327.9535259
"112","7",0.8136896,1009.0590145,1.3512963,1011.2240004
"112","15",0.8136896,731.2326309,2.9353627,734.9816832
"112","2",0.8136896,1202.2919834,2.3642810,1205.4699540
"113","1",0.7818416,1107.7781653,2.4901629,1111.0501699
"113","3",0.7818416,566.0748962,3.4647261,570.3214639
"113","16",0.7818416,1465.1582884,2.6653095,1468.6054395
"113","4",0.7818416,1326.2525528,0.4822301,1327.5166246
"113","10",0.7818416,1388.2782294,2.9794628,1392.0395339
"113","9",0.7818416,2331.6809194,2.8057399,2335.2685009
"113","12",0.7818416,2331.6809194,2.8057399,2335.2685009
"113","6",0.7818416,1060.4773098,0.6805221,1061.9396736
"113","8",0.7818416,1309.8871137,3.8251580,1314.4941134
"113","5",0.7818416,1429.7970323,5.3872645,1435.9661384
"113","7",0.7818416,1116.6503980,1.3512963,1118.7835359
"113","15",0.7818416,650.9752131,2.9353627,654.6924174
"113","2",0.7818416,1206.1308420,2.3642810,1209.2769646
"114","1",0.2296240,1147.0280025,2.4901629,1149.7477894
"114","3",0.2296240,662.7218054,3.4647261,666.4161555
"114","16",0.2296240,1504.4081256,2.6653095,1507.3030591
"114","4",0.2296240,1390.5554328,0.4822301,1391.2672869
"114","10",0.2296240,1452.5811094,2.9794628,1455.7901962
"114","9",0.2296240,2425.0768381,2.8057399,2428.1122020
"114","12",0.2296240,2425.0768381,2.8057399,2428.1122020
"114","6",0.2296240,1099.7271469,0.6805221,1100.6372931
"114","8",0.2296240,1349.1369509,3.8251580,1353.1917329
"114","5",0.2296240,1523.1929510,5.3872645,1528.8098395
"114","7",0.2296240,1201.1139009,1.3512963,1202.6948212
"114","15",0.2296240,557.1759682,2.9353627,560.3409549
"114","2",0.2296240,1245.3806792,2.3642810,1247.9745842
"115","1",7.7584471,1262.9883150,2.4901629,1273.2369251
"115","3",7.7584471,795.7698835,3.4647261,806.9930567
"115","16",7.7584471,1620.3684380,2.6653095,1630.7921947
"115","4",7.7584471,1506.5157452,0.4822301,1514.7564225
"115","10",7.7584471,1568.5414218,2.9794628,1579.2793318
"115","9",7.7584471,2541.0371506,2.8057399,2551.6013376
"115","12",7.7584471,2541.0371506,2.8057399,2551.6013376
"115","6",7.7584471,1215.6874594,0.6805221,1224.1264287
"115","8",7.7584471,1465.0972634,3.8251580,1476.6808685
"115","5",7.7584471,1639.1532635,5.3872645,1652.2989751
"115","7",7.7584471,1317.0742134,1.3512963,1326.1839568
"115","15",7.7584471,633.3712801,2.9353627,644.0650899
"115","2",7.7584471,1361.3409917,2.3642810,1371.4637198
"116","1",2.1366016,1301.1656744,2.4901629,1305.7924389
"116","3",2.1366016,930.5642023,3.4647261,936.1655300
"116","16",2.1366016,1658.5457975,2.6653095,1663.3477085
"116","4",2.1366016,1603.0816581,0.4822301,1605.7004898
"116","10",2.1366016,1665.1073348,2.9794628,1670.2233991
"116","9",2.1366016,2637.6030635,2.8057399,2642.5454049
"116","12",2.1366016,2637.6030635,2.8057399,2642.5454049
"116","6",2.1366016,1233.9023503,0.6805221,1236.7194741
"116","8",2.1366016,1451.2150396,3.8251580,1457.1767992
"116","5",2.1366016,1735.7191764,5.3872645,1743.2430425
"116","7",2.1366016,1413.6401263,1.3512963,1417.1280242
"116","15",2.1366016,369.3360814,2.9353627,374.4080456
"116","2",2.1366016,1399.5183511,2.3642810,1404.0192336
"117","1",1.0584327,1392.7323880,2.4901629,1396.2809836
"117","3",1.0584327,1065.4556817,3.4647261,1069.9788404
"117","16",1.0584327,1750.1125111,2.6653095,1753.8362532
"117","4",1.0584327,1737.9731375,0.4822301,1739.5138003
"117","10",1.0584327,1799.9988141,2.9794628,1804.0367096
"117","9",1.0584327,2772.4945428,2.8057399,2776.3587154
"117","12",1.0584327,2772.4945428,2.8057399,2776.3587154
"117","6",1.0584327,1319.2563081,0.6805221,1320.9952629
"117","8",1.0584327,1536.5689974,3.8251580,1541.4525881
"117","5",1.0584327,1870.6106557,5.3872645,1877.0563529
"117","7",1.0584327,1548.5316056,1.3512963,1550.9413346
"117","15",1.0584327,409.9187164,2.9353627,413.9125117
"117","2",1.0584327,1491.0850647,2.3642810,1494.5077783
"118","1",1.4881292,1439.1046763,2.4901629,1443.0829685
"118","3",1.4881292,1184.7432902,3.4647261,1189.6961455
"118","16",1.4881292,1796.4847994,2.6653095,1800.6382381
"118","4",1.4881292,1857.2607460,0.4822301,1859.2311054
"118","10",1.4881292,1919.2864227,2.9794628,1923.7540147
"118","9",1.4881292,2891.7821514,2.8057399,2896.0760205
"118","12",1.4881292,2891.7821514,2.8057399,2896.0760205
"118","6",1.4881292,1365.6285964,0.6805221,1367.7972478
"118","8",1.4881292,1539.3187297,3.8251580,1544.6320169
"118","5",1.4881292,1989.8982643,5.3872645,1996.7736580
"118","7",1.4881292,1667.8192142,1.3512963,1670.6586397
"118","15",1.4881292,422.3620750,2.9353627,426.7855669
"118","2",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","1",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","3",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","16",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","4",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","10",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","9",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","12",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","6",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","8",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","5",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","7",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","15",1.4881292,1537.4573530,2.3642810,1541.3097632
"119","2",1.4881292,1537.4573530,2.3642810,1541.3097632
"120","1",18.1211576,1579.3644231,2.4901629,1599.9757436
"120","3",18.1211576,1420.1079777,3.4647261,1441.6938613
"120","16",18.1211576,1936.7445461,2.6653095,1957.5310132
"120","4",18.1211576,2091.4666055,0.4822301,2110.0699932
"120","10",18.1211576,2153.4922821,2.9794628,2174.5929025
"120","9",18.1211576,3127.1123265,2.8057399,3148.0392239
"120","12",18.1211576,3127.1123265,2.8057399,3148.0392239
"120","6",18.1211576,1439.6045661,0.6805221,1458.4062458
"120","8",18.1211576,1607.5519704,3.8251580,1629.4982859
"120","5",18.1211576,2225.2284394,5.3872645,2248.7368614
"120","7",18.1211576,1902.0390627,1.3512963,1921.5115165
"120","15",18.1211576,529.0806469,2.9353627,550.1371671
"120","2",18.1211576,1677.7170998,2.3642810,1698.2025383
"130","1",1.5256119,1375.3012016,2.4901629,1379.3169765
"130","3",1.5256119,1245.1152987,3.4647261,1250.1056367
"130","16",1.5256119,1426.8956497,2.6653095,1431.0865712
"130","4",1.5256119,654.6093930,0.4822301,656.6172351
"130","10",1.5256119,803.5240565,2.9794628,808.0291312
"130","9",1.5256119,996.1043868,2.8057399,1000.4357386
"130","12",1.5256119,996.1043868,2.8057399,1000.4357386
"130","6",1.5256119,1654.6060025,0.6805221,1656.8121366
"130","8",1.5256119,1766.4606090,3.8251580,1771.8113790
"130","5",1.5256119,332.2330210,5.3872645,339.1458975
"130","7",1.5256119,659.3288882,1.3512963,662.2057964
"130","15",1.5256119,2161.0301425,2.9353627,2165.4911171
"130","2",1.5256119,1420.5010718,2.3642810,1424.3909647
"131","1",0.4934055,1281.2179592,2.4901629,1284.2015276
"131","3",0.4934055,1151.0320563,3.4647261,1154.9901878
"131","16",0.4934055,1332.8124073,2.6653095,1335.9711223
"131","4",0.4934055,566.3614308,0.4822301,567.3370664
"131","10",0.4934055,709.4408140,2.9794628,712.9136823
"131","9",0.4934055,1047.5809870,2.8057399,1050.8801324
"131","12",0.4934055,1047.5809870,2.8057399,1050.8801324
"131","6",0.4934055,1560.5227601,0.6805221,1561.6966877
"131","8",0.4934055,1672.3773666,3.8251580,1676.6959301
"131","5",0.4934055,238.1497786,5.3872645,244.0304486
"131","7",0.4934055,565.2456457,1.3512963,567.0903475
"131","15",0.4934055,2066.9469001,2.9353627,2070.3756683
"131","2",0.4934055,1326.4178294,2.3642810,1329.2755158
"132","1",0.1764322,1182.9836562,2.4901629,1185.6502514
"132","3",0.1764322,1040.8817364,3.4647261,1044.5228947
"132","16",0.1764322,1234.5781044,2.6653095,1237.4198461
"132","4",0.1764322,490.9535035,0.4822301,491.6121658
"132","10",0.1764322,612.8420965,2.9794628,615.9979915
"132","9",0.1764322,1110.4596356,2.8057399,1113.4418077
"132","12",0.1764322,1110.4596356,2.8057399,1113.4418077
"132","6",0.1764322,1462.2884572,0.6805221,1463.1454115
"132","8",0.1764322,1574.1430637,3.8251580,1578.1446539
"132","5",0.1764322,100.7442273,5.3872645,106.3079240
"132","7",0.1764322,467.0113428,1.3512963,468.5390713
"132","15",0.1764322,1956.7965802,2.9353627,1959.9083751
"132","2",0.1764322,1228.1835264,2.3642810,1230.7242396
"133","1",7.4464097,1146.1907500,2.4901629,1156.1273226
"133","3",7.4464097,974.0720663,3.4647261,984.9832021
"133","16",7.4464097,1197.7851981,2.6653095,1207.8969173
"133","4",7.4464097,504.6929921,0.4822301,512.6216319
"133","10",7.4464097,626.5815851,2.9794628,637.0074576
"133","9",7.4464097,1195.9757867,2.8057399,1206.2279363
"133","12",7.4464097,1195.9757867,2.8057399,1206.2279363
"133","6",7.4464097,1425.4955509,0.6805221,1433.6224827
"133","8",7.4464097,1537.3501574,3.8251580,1548.6217251
"133","5",7.4464097,89.8319256,5.3872645,102.6655998
"133","7",7.4464097,430.2184365,1.3512963,439.0161425
