R,GID,X,Y
0.10277069270576407,54,-7.51249997,33.62916653
0.07675013630952464,55,-7.504166637,33.62916653
0.2637839716472352,83,-7.529166637,33.6208332
0.1685738708712482,84,-7.520833303,33.6208332
0.1550417000007979,85,-7.51249997,33.6208332
0.09646006988397059,86,-7.504166637,33.6208332
0.1279897011951271,87,-7.495833303,33.6208332
0.6483408232693224,110,-7.56249997,33.61249987
0.532396011850952,111,-7.554166636,33.61249987
0.44084795850558683,112,-7.545833303,33.61249987
0.3640847626833189,113,-7.53749997,33.61249987
0.31416588417923247,114,-7.529166637,33.61249987
0.22873167635145064,115,-7.520833303,33.61249987
0.19270965160809728,116,-7.51249997,33.61249987
0.14015910707454723,117,-7.504166637,33.61249987
0.10903121872151882,118,-7.495833303,33.61249987
0.19710983953043457,119,-7.48749997,33.61249987
0.053380714389984,120,-7.479166637,33.61249987
1.1681416388620687,130,-7.654166636,33.60416653
1.2671402000429146,131,-7.645833303,33.60416653
1.3532797685133906,132,-7.637499969,33.60416653
1.3132026029406758,133,-7.629166636,33.60416653
1.3904829902662739,134,-7.620833303,33.60416653
1.2621291221514488,135,-7.61249997,33.60416653
1.0296406910926077,136,-7.604166636,33.60416653
0.7126310180120309,138,-7.58749997,33.60416653
1.028155399920517,139,-7.579166636,33.60416653
0.8714692643905615,140,-7.570833303,33.60416653
0.7159424170095066,141,-7.56249997,33.60416653
0.5989087932206262,142,-7.554166636,33.60416653
0.561403404734722,143,-7.545833303,33.60416653
0.4511289217005595,144,-7.53749997,33.60416653
0.3539505753203851,145,-7.529166637,33.60416653
0.2700380617562803,146,-7.520833303,33.60416653
0.21165624927239968,147,-7.51249997,33.60416653
0.16184592307399046,148,-7.504166637,33.60416653
0.12013689139022826,149,-7.495833303,33.60416653
0.09484189680741227,150,-7.48749997,33.60416653
0.9683457834908328,158,-7.679166636,33.5958332
1.06421313368823,159,-7.670833303,33.5958332
1.1969697701567066,160,-7.662499969,33.5958332
1.3138555674673553,161,-7.654166636,33.5958332
1.4167978606813059,162,-7.645833303,33.5958332
1.504449772895838,163,-7.637499969,33.5958332
1.5518332380944928,164,-7.629166636,33.5958332
1.5697556992728332,165,-7.620833303,33.5958332
1.5477554936865785,166,-7.61249997,33.5958332
1.4496990686559799,167,-7.604166636,33.5958332
1.3653633678090025,168,-7.595833303,33.5958332
1.2683732053189316,169,-7.58749997,33.5958332
1.107340507371238,170,-7.579166636,33.5958332
0.9469303314735563,171,-7.570833303,33.5958332
0.8391439136272029,172,-7.56249997,33.5958332
0.68874495293166,173,-7.554166636,33.5958332
0.5784613157775156,174,-7.545833303,33.5958332
0.4430375066357889,175,-7.53749997,33.5958332
0.367245078014185,176,-7.529166637,33.5958332
0.2851844419535866,177,-7.520833303,33.5958332
0.2319296868349617,178,-7.51249997,33.5958332
0.18214795507109452,179,-7.504166637,33.5958332
0.14433351105255612,180,-7.495833303,33.5958332
1.004224309618129,189,-7.679166636,33.58749987
1.1430482094064554,190,-7.670833303,33.58749987
1.2862740462630036,191,-7.662499969,33.58749987
1.4255951338811075,192,-7.654166636,33.58749987
1.5445642035377183,193,-7.645833303,33.58749987
1.5961237224433409,194,-7.637499969,33.58749987
1.6437313985381348,195,-7.629166636,33.58749987
1.6636182420441614,196,-7.620833303,33.58749987
1.6160010705150145,197,-7.61249997,33.58749987
1.5677882704257042,198,-7.604166636,33.58749987
1.4704290174201757,199,-7.595833303,33.58749987
1.3171832277194773,200,-7.58749997,33.58749987
1.1876378128321248,201,-7.579166636,33.58749987
0.8475048340236655,202,-7.570833303,33.58749987
0.8927537433011697,203,-7.56249997,33.58749987
0.7330489445680765,204,-7.554166636,33.58749987
0.6153694597924309,205,-7.545833303,33.58749987
0.48269692179938556,206,-7.53749997,33.58749987
0.38852175006707457,207,-7.529166637,33.58749987
0.31587236269947816,208,-7.520833303,33.58749987
0.242129390971985,209,-7.51249997,33.58749987
0.19266209066623474,210,-7.504166637,33.58749987
0.14793901898056797,211,-7.495833303,33.58749987
0.10880441869313093,212,-7.48749997,33.58749987
0.08075228867514199,213,-7.479166637,33.58749987
0.682599145759449,217,-7.704166636,33.57916653
0.7504493044773808,218,-7.695833303,33.57916653
0.8762678918277118,219,-7.687499969,33.57916653
1.03235558404363,220,-7.679166636,33.57916653
1.199044129978655,221,-7.670833303,33.57916653
1.30646279586409,222,-7.662499969,33.57916653
1.4404804374707674,223,-7.654166636,33.57916653
1.5131229609472312,224,-7.645833303,33.57916653
1.623544146623004,225,-7.637499969,33.57916653
1.652144444338363,226,-7.629166636,33.57916653
1.645337108233002,227,-7.620833303,33.57916653
1.6229090195988936,228,-7.61249997,33.57916653
1.5468214432779492,229,-7.604166636,33.57916653
1.445201657822107,230,-7.595833303,33.57916653
1.3201738832986518,231,-7.58749997,33.57916653
1.1291606566197343,232,-7.579166636,33.57916653
0.9767040397570511,233,-7.570833303,33.57916653
0.880217824591548,234,-7.56249997,33.57916653
0.7747453007822872,235,-7.554166636,33.57916653
0.6266809449923815,236,-7.545833303,33.57916653
0.5043071054055877,237,-7.53749997,33.57916653
0.40231613318106385,238,-7.529166637,33.57916653
0.3299018895881031,239,-7.520833303,33.57916653
0.2729078622317211,240,-7.51249997,33.57916653
0.20848819995118484,241,-7.504166637,33.57916653
0.1540904189725953,242,-7.495833303,33.57916653
0.11865743701386372,243,-7.48749997,33.57916653
0.06517405246395136,244,-7.479166637,33.57916653
0.04419630906982034,245,-7.470833303,33.57916653
0.855364366747218,249,-7.695833303,33.5708332
0.985622677726045,250,-7.687499969,33.5708332
